dt,AverageTemperature,Country,oil_production
2013,27.7407,Saudi Arabia,6261.744
2013,-2.26313,Russia,6189.76
2013,11.2971,United States,5216.208
2013,25.2088,Africa,4762.68
2013,9.295,China,2441.826
